,Game,AgeRestriction,GameDescription,Reviews,ReviewSentiment,ReleaseDate,Developer,FullPrice,DiscountedPrice,PEGI,MetacriticScore,Type,LastUpdate,GamesLanguages,GameFeatures,DRM Notice,GameAchievements,CuratorReviews
257,Total War: ATTILA,No,"Against a darkening background of famine, disease and war, a new power is rising in the great steppes of the East. With a million horsemen at his back, the ultimate warrior king approaches, and his sights are set on Rome… The next instalment in the multi award-winning PC series that combines turn-based strategy with real-time tactics,...","Análises em geral:
Muito positivas (21,541 análises)",Muito positivas,17/fev./2015,CREATIVE ASSEMBLY,"R$ 112,99",0,,80,Estratégia,,Ver todos os 9 idiomas disponíveis,"Um jogador
JxJ on-line
JxJ em rede local (LAN)
Cooperativo on-line
Coop. em rede local (LAN)
Conquistas Steam
Cartas Colecionáveis Steam
Nuvem Steam",Requer aceitação de contrato de terceiros,Inclui 118 Conquistas Steam,258 curadores analisaram este produto. Clique aqui para saber quais.
258,Car Mechanic Simulator 2021 - Drag Racing DLC,No,,"Análises em geral:
Ligeiramente positivas (62 análises)",Ligeiramente positivas,9/nov./2022,Red Dot Games,"R$ 28,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,,"Corrida, Simulação",Ver todas as atualizações (última: 3 de abr.),Ver todos os 17 idiomas disponíveis,"Um jogador
Conteúdo adicional
Conquistas Steam
Cartas Colecionáveis Steam
Oficina Steam
Compat. parcial com controle
Nuvem Steam
Estatísticas
Inclui editor de níveis",Not required,0,3 curadores analisaram este produto. Clique aqui para saber quais.
259,Farmer's Dynasty,No,FARMER'S DYNASTY oferece uma experiência de jogo totalmente nova ao mesclar elementos de uma simulação de vida com elementos de interpretação de papel e um clássico jogo de simulação de fazenda.,"Análises em geral:
Ligeiramente positivas (2,771 análises)",Ligeiramente positivas,21/nov./2019,UMEO Studios,"R$ 69,99","R$ 17,49",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,,"Casual, RPG, Simulação, Estratégia",Ver todas as atualizações (última: 9 de dez. de 2022),Ver todos os 15 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam",Not required,Inclui 24 Conquistas Steam,53 curadores analisaram este produto. Clique aqui para saber quais.
260,Dead by Daylight - Survivor Expansion Pack,Yes,,"Análises em geral:
Ligeiramente positivas (51 análises)",Ligeiramente positivas,15/jun./2021,Behaviour Interactive Inc.,"R$ 72,49",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/18.png,,Ação,Ver todas as atualizações (última: 22 de mar.),Ver todos os 17 idiomas disponíveis,"JxJ on-line
Cooperativo on-line
Multijogador multiplataforma
Conteúdo adicional
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Nuvem Steam
Remote Play no celular
Remote Play no tablet
Remote Play na TV",Not required,0,4 curadores analisaram este produto. Clique aqui para saber quais.
261,Destiny 2: A Bruxa-Rainha,No,,"Análises em geral:
Ligeiramente positivas (2,110 análises)",Muito positivas,22/fev./2022,Bungie,"R$ 89,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/14.png,,"Ação, Aventura, Gratuito p/ Jogar",Ver todas as atualizações (última: 15 de dez. de 2022),Ver todos os 13 idiomas disponíveis,"Um jogador
JxJ on-line
Cooperativo on-line
Conteúdo adicional
Conquistas Steam
Compat. total com controle
Compras em aplicativo
Remote Play no celular
Remote Play no tablet
Remote Play na TV",Not required,0,37 curadores analisaram este produto. Clique aqui para saber quais.
262,Katana ZERO,No,"Katana ZERO é um estiloso jogo de plataforma e ação neo-noir em uma velocidade eletrizante e combates com morte instantânea. Ataque, corra e manipule o tempo para desvendar seu passado em meio a acrobacias espetacularmente brutais.","Análises em geral:
Extremamente positivas (49,433 análises)",Extremamente positivas,18/abr./2019,Askiisoft,"R$ 28,99",0,,83,"Ação, Indie",,Ver todos os 10 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Nuvem Steam
Remote Play no celular
Remote Play no tablet
Remote Play na TV",Not required,Inclui 22 Conquistas Steam,343 curadores analisaram este produto. Clique aqui para saber quais.
263,MIR4,Yes,MIR4 is a free-to-play open world K-fantasy MMORPG that can be cross-played on both PC and mobile devices. MIR4 is full of action and features numerous large scale clan PVP battles. Join now and become a legend.,"Análises em geral:
Neutras (13,076 análises)",Neutras,25/ago./2021,Wemade Next,Gratuito para jogar,0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/12.png,,"Ação, Aventura, Gratuito p/ Jogar, Multijogador Massivo, RPG",Ver todas as atualizações (última: 3 de abr.),Ver todos os 5 idiomas disponíveis,"MMO
JxJ on-line
Cooperativo on-line
Multijogador multiplataforma
Compras em aplicativo",Requer aceitação de contrato de terceiros,0,25 curadores analisaram este produto. Clique aqui para saber quais.
264,Chained Echoes,Yes,"Take up your sword, channel your magic or board your Mech. Chained Echoes is a 16-bit style RPG set in a fantasy world where dragons are as common as piloted mechanical suits.","Análises em geral:
Muito positivas (3,051 análises)",Muito positivas,8/dez./2022,Matthias Linda,"R$ 80,00",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/14.png,91,"Indie, RPG",Ver todas as atualizações (última: 7 de fev.),Ver todos os 5 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle",Not required,Inclui 37 Conquistas Steam,71 curadores analisaram este produto. Clique aqui para saber quais.
265,TUNIC,Yes,"Explore um reino repleto de lendas perdidas, antigos poderes e monstros ferozes em TUNIC, um jogo de ação isométrico com uma pequena raposa em uma grande aventura.","Análises em geral:
Muito positivas (7,699 análises)",Muito positivas,16/mar./2022,TUNIC Team,"R$ 88,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/10.png,85,"Ação, Aventura, RPG",,Ver todos os 26 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Nuvem Steam",Not required,Inclui 36 Conquistas Steam,169 curadores analisaram este produto. Clique aqui para saber quais.
266,Five Nights at Freddy's: Security Breach,No,"Em Five Nights at Freddy’s: Security Breach, você joga como Gregory, um garotinho que ficou preso à noite no Freddy Fazbear’s Mega Pizzaplex. Com a ajuda do próprio Freddy, Gregory deve desvendar os segredos do Pizzaplex, descobrir a verdade e sobreviver até o amanhecer.","Análises em geral:
Muito positivas (42,276 análises)",Muito positivas,16/dez./2021,Steel Wool Studios,"R$ 75,49",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/12.png,,"Ação, Aventura, Indie",,Ver todos os 12 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle",Requer aceitação de contrato de terceiros,Inclui 29 Conquistas Steam,139 curadores analisaram este produto. Clique aqui para saber quais.
267,LOUD: My Trip to Japan DLC,No,,"Análises em geral:
2 análises de usuários (2 análises)",2 análises de usuários,23/mar./2023,Hyperstrange,"R$ 13,79","R$ 28,71",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,,"Ação, Casual",Ver todas as atualizações (última: 23 de mar.),Ver todos os 8 idiomas disponíveis,"Um jogador
Conteúdo adicional
Conquistas Steam
Compat. total com controle
Nuvem Steam",Not required,0,1 curador analisou este produto. Clique aqui para saber qual.
268,Lightracer Spark,No,"Lightracer Spark is a Sci-Fi Narrative game. You are an amender from a high civilization, descending to various extraterrestrial worlds. Guide living beings to prosperity, or nip a spark in the bud. Accumulate strength through choices and strategies to grasp the rise and fall of all civilizations.","Análises em geral:
Ligeiramente positivas (69 análises)",Ligeiramente positivas,12/abr./2023,Smartmelon Games,"R$ 41,99","R$ 37,79",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,,"Indie, RPG, Estratégia",Ver todas as atualizações (última: 22 de fev.),1,"Um jogador
Conquistas Steam
Nuvem Steam",Not required,Inclui 17 Conquistas Steam,0
269,Planet Zoo: Conservation Pack,Yes,,"Análises em geral:
Muito positivas (68 análises)",Muito positivas,21/jun./2022,Frontier Developments,"R$ 24,34","R$ 15,82",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/12.png,,"Casual, Simulação, Estratégia",Ver todas as atualizações (última: 4 de abr.),Ver todos os 18 idiomas disponíveis,"Um jogador
Conteúdo adicional
Conquistas Steam
Cartas Colecionáveis Steam
Oficina Steam
Nuvem Steam",Not required,0,4 curadores analisaram este produto. Clique aqui para saber quais.
270,DIRT 5,No,"Se Liberte no DIRT 5 - a experiência todo-o-terreno mais ousada até hoje, com uma Carreira cheia de estrelas, jogo local com tela separada para quatro jogadores, modos online inovadores, editor estético e mais.","Análises em geral:
Neutras (2,531 análises)",Neutras,5/nov./2020,Codemasters,"R$ 109,99","R$ 32,99",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,72,"Ação, Aventura, Casual, Corrida, Esportes",,Ver todos os 9 idiomas disponíveis,"Um jogador
JxJ on-line
JxJ tela dividida/compart.
Coop. tela dividida/compart.
Conquistas Steam
Compat. total com controle
Compras em aplicativo
Nuvem Steam
Remote Play Together",Requer aceitação de contrato de terceiros,Inclui 40 Conquistas Steam,114 curadores analisaram este produto. Clique aqui para saber quais.
271,Labyrinthine,Yes,"A co-op horror game like no other... Play with 1-4 players online as you solve puzzles, collect items and run from the horrors that lie within. Follow in the footsteps of Joan in the story mode or tackle procedurally generated maps that scale with your level and bring a fresh experience each game..","Análises em geral:
Muito positivas (7,633 análises)",Muito positivas,28/out./2020,Valko Game Studios,"R$ 20,69",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/14.png,,"Ação, Aventura, Indie, Acesso Antecipado",Ver todas as atualizações (última: ontem),Ver todos os 10 idiomas disponíveis,"Um jogador
Cooperativo on-line
Conquistas Steam
Compat. total com controle
Compat. c/ contr. mov. rastr.
Compatíveis com RV
Cartas Colecionáveis Steam
Nuvem Steam
Estatísticas
Remote Play na TV",Not required,Inclui 22 Conquistas Steam,60 curadores analisaram este produto. Clique aqui para saber quais.
272,KOF XV Fighter Pass,No,,"Análises em geral:
Positivas (17 análises)",Positivas,16/jan./2023,SNK CORPORATION,"R$ 75,49",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/12.png,,Ação,,Ver todos os 13 idiomas disponíveis,"Um jogador
JxJ on-line
JxJ tela dividida/compart.
Conteúdo adicional
Conquistas Steam
Compat. total com controle
Nuvem Steam
Remote Play Together",Not required,0,0
273,Black Mesa,No,Relive Half-Life.,"Análises em geral:
Extremamente positivas (87,385 análises)",Muito positivas,6/mar./2020,Crowbar Collective,"R$ 36,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/18.png,84,"Ação, Aventura, Indie",,Ver todos os 30 idiomas disponíveis,"Um jogador
JxJ on-line
Multijogador multiplataforma
Conquistas Steam
Cartas Colecionáveis Steam
Legendas disponíveis
Oficina Steam
Compat. parcial com controle
Nuvem Steam
Inclui editor de níveis
Inclui o SDK da Source
Remote Play no celular
Remote Play no tablet",Requer aceitação de contrato de terceiros,Inclui 50 Conquistas Steam,753 curadores analisaram este produto. Clique aqui para saber quais.
274,Oxygen Not Included - Spaced Out!,No,,"Análises em geral:
Ligeiramente positivas (903 análises)",Ligeiramente positivas,16/dez./2021,Klei Entertainment,"R$ 26,89",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,,"Indie, Simulação",Ver todas as atualizações (última: 6 de abr.),1,"Um jogador
Conteúdo adicional",Not required,0,12 curadores analisaram este produto. Clique aqui para saber quais.
275,Crysis Remastered,Yes,"O clássico jogo de tiro em primeira pessoa da Crytek está de volta com jogabilidade repleta de ação, mundo em sandbox e emocionantes batalhas épicas que você tanto adorou da primeira vez – agora com gráficos remasterizados otimizados para uma nova geração de hardware.","Análises em geral:
Neutras (5,176 análises)",Ligeiramente positivas,17/set./2021,Crytek,"R$ 57,99","R$ 26,09",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/14.png,,Ação,,Ver todos os 12 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam",Requer aceitação de contrato de terceiros,Inclui 40 Conquistas Steam,91 curadores analisaram este produto. Clique aqui para saber quais.
276,Medal of Honor™,No,This is a new war. There is a new warrior. He is Tier 1.,"Análises em geral:
Muito positivas (4,322 análises)",Muito positivas,12/out./2010,Electronic Arts,"R$ 59,00","R$ 14,75",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/16.png,72,Ação,,Ver todos os 8 idiomas disponíveis,Um jogador,Requer aceitação de contrato de terceiros,0,104 curadores analisaram este produto. Clique aqui para saber quais.
277,Hotline Miami 2: Wrong Number,Yes,"Hotline Miami 2: Wrong Number é a conclusão brutal da saga Hotline Miami, tendo como pano de fundo uma escalada de violência e vingança pelo sangue derramado no jogo original.","Análises em geral:
Muito positivas (41,147 análises)",Muito positivas,10/mar./2015,Dennaton Games,"R$ 46,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/18.png,,"Ação, Indie",,Ver todos os 7 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Oficina Steam
Nuvem Steam
Classificações Steam
Inclui editor de níveis
Remote Play na TV",Not required,Inclui 29 Conquistas Steam,811 curadores analisaram este produto. Clique aqui para saber quais.
278,art of rally,No,Corra na era de ouro do rally. Pilote carros icônicos desde os anos 60 até o Grupo B em provas desafiadoras por ambientes estilizados. Você vai dominar a arte do rally?,"Análises em geral:
Muito positivas (3,613 análises)",Muito positivas,23/set./2020,Funselektor Labs Inc.,"R$ 47,49","R$ 28,49",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,,"Ação, Indie, Corrida, Simulação, Esportes",,Ver todos os 12 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Nuvem Steam
Estatísticas
Classificações Steam",Not required,Inclui 43 Conquistas Steam,110 curadores analisaram este produto. Clique aqui para saber quais.
279,DREDGE - Blackstone Key,Yes,,"Análises em geral:
Positivas (36 análises)",Positivas,30/mar./2023,Black Salt Games,"R$ 17,25",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/14.png,,"Aventura, RPG",Ver todas as atualizações (última: 6 de abr.),Ver todos os 11 idiomas disponíveis,"Um jogador
Conteúdo adicional
Conquistas Steam
Compat. total com controle
Nuvem Steam",Not required,0,0
280,Vampire Survivors: Legacy of the Moonspell,Yes,,"Análises em geral:
Extremamente positivas (1,599 análises)",Muito positivas,15/dez./2022,poncle,"R$ 5,00",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/10.png,87,"Ação, Casual, Indie, RPG",Ver todas as atualizações (última: 9 de fev.),Ver todos os 12 idiomas disponíveis,"Um jogador
Conteúdo adicional
Conquistas Steam
Compat. total com controle
Nuvem Steam",Not required,0,11 curadores analisaram este produto. Clique aqui para saber quais.
281,Papa's Freezeria Deluxe,No,"Return to Calypso Island to serve seasonal sundae treats in Papa's Freezeria Deluxe! Craft sundaes for all your quirky customers while earning tips, points and Special Recipes. Switch gears and take a trip in the Food Truck to concoct your own chilly creations and see who shows up!","Análises em geral:
Extremamente positivas (1,805 análises)",Extremamente positivas,31/mar./2023,Flipline Studios,"R$ 20,49",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,,"Ação, Casual, Indie, Simulação, Estratégia",,1,"Um jogador
Conquistas Steam
Nuvem Steam",Not required,Inclui 90 Conquistas Steam,13 curadores analisaram este produto. Clique aqui para saber quais.
282,Detroit: Become Human,No,"Detroit: Become Human coloca o destino da humanidade e dos androides em suas mãos. Todas as suas escolhas afetam o resultado do jogo, com uma das narrativas mais intrinsecamente ramificadas já criadas.","Análises em geral:
Muito positivas (69,024 análises)",Extremamente positivas,18/jun./2020,Quantic Dream,"R$ 134,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/16.png,80,"Ação, Aventura",,Ver todos os 24 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Nuvem Steam
Remote Play na TV",Requer aceitação de contrato de terceiros,Inclui 48 Conquistas Steam,433 curadores analisaram este produto. Clique aqui para saber quais.
283,"Resident Evil 4 - Trajes de Leon e Ashley: ""Romântico""",Yes,,"Análises em geral:
Muito positivas (64 análises)",Muito positivas,23/mar./2023,"CAPCOM Co., Ltd.","R$ 19,00",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/18.png,,"Ação, Aventura",,Ver todos os 13 idiomas disponíveis,"Um jogador
Conteúdo adicional
Conquistas Steam
Compat. total com controle
Nuvem Steam",Not required,0,0
284,Modern Combat 5,No,"Um FPS militar acelerado com uma empolgante campanha solo e 10 modos de jogo multiplayer, incluindo Batalha Royale. Escolha entre 10 classes de soldados personalizáveis e +100 armas e teste suas habilidades em combate em um dos 11 mapas multiplayer ou nos torneiros de eSports semanais.","Análises em geral:
Neutras (5,570 análises)",Neutras,24/out./2018,Gameloft,Gratuito para jogar,0,,,"Ação, Gratuito p/ Jogar, Multijogador Massivo",,Ver todos os 14 idiomas disponíveis,"Um jogador
JxJ on-line
Compras em aplicativo",Requer aceitação de contrato de terceiros,Inclui 54 Conquistas Steam,16 curadores analisaram este produto. Clique aqui para saber quais.
285,SEASON: A letter to the future,No,"Mergulhe no mundo de Season, um jogo de aventura atmosférica sobre viagens de bicicleta em terceira pessoa. Saia de casa pela primeira vez em busca de recordações antes que um misterioso cataclismo acabe com todas elas. Explore, grave, conheça pessoas e desvende o estranho mundo ao seu redor.","Análises em geral:
Muito positivas (725 análises)",Muito positivas,31/jan./2023,Scavengers Studio,"R$ 73,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,80,"Aventura, Casual, Indie",Ver todas as atualizações (última: 15 de mar.),Ver todos os 8 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Nuvem Steam",Not required,Inclui 16 Conquistas Steam,44 curadores analisaram este produto. Clique aqui para saber quais.
286,LEGO® STAR WARS™: The Force Awakens,No,A franquia de jogos de videogame número 1 de LEGO® retorna triunfante com uma divertida e bem-humorada jornada baseada no filme de sucesso. O jogo também terá um novo conteúdo jogável que explorará o tempo entre Star Wars: O Retorno de Jedi e Star Wars: O Despertar da Força.,"Análises em geral:
Muito positivas (3,594 análises)",Muito positivas,27/jun./2016,"Traveller's Tales, TT Games, Feral Interactive (Mac)","R$ 89,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,,"Ação, Aventura",,Ver todos os 10 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Remote Play no celular
Remote Play no tablet
Remote Play na TV
Remote Play Together",Requer aceitação de contrato de terceiros,Inclui 69 Conquistas Steam,102 curadores analisaram este produto. Clique aqui para saber quais.
287,Forspoken,Yes,"Forspoken conta a jornada de Frey, uma jovem nova-iorquina levada à bela e cruel Athia. Frey precisa usar suas habilidades mágicas recém-descobertas para explorar e enfrentar criaturas monstruosas em busca de um caminho de volta para casa.","Análises em geral:
Neutras (3,558 análises)",Ligeiramente positivas,24/jan./2023,Luminous Productions,"R$ 349,90",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/14.png,,"Ação, Aventura, RPG",Ver todas as atualizações (última: 4 de abr.),Ver todos os 14 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Nuvem Steam",Requer aceitação de contrato de terceiros,Inclui 53 Conquistas Steam,153 curadores analisaram este produto. Clique aqui para saber quais.
288,Nuclear War Simulator,No,Nuclear war simulator is a detailed realistic simulation and visualization of large-scale nuclear conflicts with a focus on humanitarian consequences. It lets you design conflict scenarios and estimate the consequences using a population density map and realistic weapons effects.,"Análises em geral:
Neutras (99 análises)",Neutras,2/fev./2023,Bit Mirror,"R$ 57,99",0,,,Simulação,Ver todas as atualizações (última: 17 de mar.),1,"Um jogador
Nuvem Steam",Requer aceitação de contrato de terceiros,0,7 curadores analisaram este produto. Clique aqui para saber quais.
289,Five Nights at Freddy's 2,No,"Welcome back to the new and improved Freddy Fazbear's Pizza! As always, Fazbear Entertainment is not responsible for death or dismemberment.","Análises em geral:
Muito positivas (14,931 análises)",Muito positivas,10/nov./2014,Scott Cawthon,"R$ 16,59",0,,62,Indie,,1,Um jogador,Not required,0,764 curadores analisaram este produto. Clique aqui para saber quais.
290,,No,,,,,,,0,,,,,1,,Not required,0,0
291,Need for Speed™ Payback,Yes,"Need for Speed™ Payback - Deluxe Edition coloca você na frente da competição. Destaque-se em meio à multidão com itens exclusivos de customização e receba descontos dentro do jogo, bônus de reputação e cinco remessas para começar sua aventura.","Análises em geral:
Muito positivas (14,578 análises)",Muito positivas,6/nov./2017,Ghost Games,"R$ 89,00","R$ 613,88",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/10.png,62,"Ação, Aventura, Corrida, Esportes, Estratégia",,Ver todos os 11 idiomas disponíveis,"Um jogador
JxJ on-line
Cooperativo on-line
Conquistas Steam",Requer aceitação de contrato de terceiros,Inclui 57 Conquistas Steam,92 curadores analisaram este produto. Clique aqui para saber quais.
292,World War Z,Yes,"World War Z é um frenético jogo de tiro em terceira pessoa para até 4 jogadores, que traz hordas colossais com centenas de zumbis e foco em ação horripilantemente espetacular de ritmo acelerado.","Análises em geral:
Muito positivas (9,855 análises)",Muito positivas,21/set./2021,Saber Interactive Inc,"R$ 75,49",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/16.png,,Ação,Ver todas as atualizações (última: 29 de mar.),Ver todos os 11 idiomas disponíveis,"Um jogador
JxJ on-line
Cooperativo on-line
Multijogador multiplataforma
Conquistas Steam
Compat. total com controle
Nuvem Steam",Requer aceitação de contrato de terceiros,Inclui 35 Conquistas Steam,108 curadores analisaram este produto. Clique aqui para saber quais.
293,Assassin's Creed® Syndicate,No,"Londres, 1868. A Revolução Industrial dá início a uma incrível era de invenções, transformando a vida de milhões com tecnologias antes consideradas impossíveis. As oportunidades criadas durante este período causa uma grande migração de pessoas para Londres para fazer parte deste novo mundo, um mundo não mais controlado por reis,...","Análises em geral:
Muito positivas (22,308 análises)",Ligeiramente positivas,18/nov./2015,"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios","R$ 89,99",0,,74,"Ação, Aventura",,Ver todos os 19 idiomas disponíveis,"Um jogador
Compras em aplicativo
Compat. parcial com controle",Requer aceitação de contrato de terceiros,0,287 curadores analisaram este produto. Clique aqui para saber quais.
294,Marvel's Midnight Suns,Yes,"LUTE E CRIE ESTRATÉGIAS COMO UM SUPER-HERÓI NOS CANTOS MAIS SOMBRIOS DO UNIVERSO MARVEL. Jogue como Hunter, um lendário matador de demônios que lidera uma equipe de super-heróis e guerreiros sobrenaturais para enfrentar ameaças apocalípticas.","Análises em geral:
Muito positivas (7,638 análises)",Muito positivas,2/dez./2022,Firaxis Games,"R$ 299,90",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/12.png,,"RPG, Estratégia",Ver todas as atualizações (última: 22 de mar.),Ver todos os 11 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Compras em aplicativo",Requer aceitação de contrato de terceiros,Inclui 66 Conquistas Steam,121 curadores analisaram este produto. Clique aqui para saber quais.
295,WILD HEARTS™,Yes,Domine tecnologias ancestrais para caçar feras gigantes.,"Análises em geral:
Neutras (7,848 análises)",Ligeiramente negativas,16/fev./2023,"KOEI TECMO GAMES CO., LTD.","R$ 299,00",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/14.png,,"Ação, Aventura",Ver todas as atualizações (última: 6 de abr.),Ver todos os 12 idiomas disponíveis,"Um jogador
Multijogador multiplataforma
Conquistas Steam
Compat. total com controle",Requer aceitação de contrato de terceiros,Inclui 48 Conquistas Steam,78 curadores analisaram este produto. Clique aqui para saber quais.
296,Trine 3: The Artifacts of Power,No,"Trine 3: The Artifacts of Power é um jogo de plataforma com ação, raciocínio e aventura, e é a sequência dos premiados Trine e Trine 2. Reencontre os três heróis em uma nova aventura, agora totalmente em 3D!","Análises em geral:
Neutras (6,334 análises)",Neutras,20/ago./2015,Frozenbyte,"R$ 40,99","R$ 10,24",,,"Ação, Aventura, Indie",,Ver todos os 13 idiomas disponíveis,"Um jogador
Cooperativo on-line
Coop. tela dividida/compart.
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Oficina Steam
Nuvem Steam
Inclui editor de níveis
Remote Play na TV
Remote Play Together",Not required,Inclui 28 Conquistas Steam,135 curadores analisaram este produto. Clique aqui para saber quais.
297,Gang Beasts,No,"Gang Beasts é um party game multijogador bobo com personagens grosseiramente gelatinosos, sequências de luta brutalmente hilárias e locais perigosamente insanos, ambientado nas duras ruas de Bife City.","Análises em geral:
Muito positivas (38,538 análises)",Muito positivas,12/dez./2017,"Boneloaf, Coatsink","R$ 36,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/10.png,,"Ação, Aventura, Casual, Indie, Simulação",,Ver todos os 6 idiomas disponíveis,"JxJ on-line
JxJ tela dividida/compart.
Conquistas Steam
Compat. total com controle
Remote Play no celular
Remote Play no tablet
Remote Play na TV
Remote Play Together",Not required,Inclui 19 Conquistas Steam,645 curadores analisaram este produto. Clique aqui para saber quais.
298,UBOAT,No,"UBOAT is a simulator of a submarine from WWII era. It is a survival sandbox with crew management mechanics while its primary theme is life of German sailors. The boat is their home, but it can become their grave at any time.","Análises em geral:
Muito positivas (14,242 análises)",Ligeiramente positivas,30/abr./2019,Deep Water Studio,"R$ 88,99","R$ 95,83",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,,"Ação, Indie, Simulação, Estratégia, Acesso Antecipado",Ver todas as atualizações (última: 25 de jan.),Ver todos os 14 idiomas disponíveis,"Um jogador
Oficina Steam
Nuvem Steam",Not required,0,109 curadores analisaram este produto. Clique aqui para saber quais.
299,Tom Clancy's Ghost Recon® Wildlands,No,"Create a team with up to 3 friends in Tom Clancy’s Ghost Recon® Wildlands and enjoy the ultimate military shooter experience set in a massive, dangerous, and responsive open world.","Análises em geral:
Muito positivas (62,917 análises)",Ligeiramente positivas,6/mar./2017,"Ubisoft Paris, Ubisoft Annecy, Ubisoft Bucharest, , , ,","R$ 149,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/16.png,,"Ação, Aventura",,Ver todos os 15 idiomas disponíveis,"Um jogador
Cartas Colecionáveis Steam
Compras em aplicativo
Compat. parcial com controle",Requer aceitação de contrato de terceiros,Itens disponíveis na loja de pontos,477 curadores analisaram este produto. Clique aqui para saber quais.
300,Euro Truck Simulator 2 - Italia,No,,"Análises em geral:
Muito positivas (1,761 análises)",Muito positivas,5/dez./2017,SCS Software,"R$ 44,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,,"Indie, Simulação",Ver todas as atualizações (última: 10 de nov. de 2022),Ver todos os 23 idiomas disponíveis,"Um jogador
Conteúdo adicional
Conquistas Steam
Cartas Colecionáveis Steam
Oficina Steam
Compat. parcial com controle
Inclui editor de níveis",Not required,0,21 curadores analisaram este produto. Clique aqui para saber quais.
